SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
2158;FMQ;62009551.23;Desenvolvimento;Não
2158;FMQ;9.077.617.266.435.080;Produção;Não
3765;FMT;23.528.623.600.000.000;Desenvolvimento;Não
3765;FMT;5.397.809.340.861.200;Produção;Não
2512;FO;26.988.601.439.999.900;Desenvolvimento;Não
2512;FO;21.945.815.376.294.700;Produção;Não
4047;FOZ DO VAZA-BARRIS;23264100;Desenvolvimento;Sim
2159;FP;5.437.420.142.299.990;Desenvolvimento;Não
2159;FP;6.289.524.350.646.320;Produção;Não
2513;FP;21.436.367.518.999.900;Desenvolvimento;Não
2513;FP;2.928.778.685.778.290;Produção;Não
774;FPB;31.442.406.071.469;Produção;Não
1488;FQ;26.604.410.590.000.000;Desenvolvimento;Não
1488;FQ;8.410.736.938.573.180;Produção;Não
1255;FR;130366220;Desenvolvimento;Não
4197;FRADE;1793085796.8;Desenvolvimento;Sim
4197;FRADE;7.825.180.794.199.970;Produção;Sim
2853;FRANCO;95969750.16;Desenvolvimento;Não
2514;FRB;5.604.851.609.999.990;Desenvolvimento;Não
2514;FRB;825.742.778.840.739;Produção;Não
2515;FS;16.450.950.000.000.000;Desenvolvimento;Não
2515;FS;545229.28;Produção;Não
2516;FSE;19.790.479.756.981.100;Produção;Não
1489;FSJ;12.373.633.551.999.900;Desenvolvimento;Não
1489;FSJ;154.943.104.852.773;Produção;Não
1490;FSL;3.084.389.713.299.990;Desenvolvimento;Não
1490;FSL;31.174.838.663.132.100;Produção;Não
1491;FSR;426109248.74;Desenvolvimento;Não
1491;FSR;4.498.075.234.296.470;Produção;Não
3766;FSR;25.388.591.570.000.000;Desenvolvimento;Não
3766;FSR;3.453.766.849.448.270;Produção;Não
775;FU;4.477.077.675.300.000;Desenvolvimento;Não
775;FU;5.254.280.452.943.770;Produção;Não
2160;FZB;3.879.850.822.499.990;Desenvolvimento;Não
2160;FZB;5.995.612.423.074.360;Produção;Não
3490;GA;22.205.374.126.000.000;Desenvolvimento;Não
3490;GA;9.708.756.096.346.200;Produção;Não
4333;GAIVOTA;22.652.943.166.999.900;Desenvolvimento;Sim
